Postive Mode,Negative Mode,Both Modes,Combined for MetaboAnalyst,,
1-AMINOCYCLOPROPANECARBOXYLATE,1-AMINOCYCLOPROPANECARBOXYLATE,1-AMINOCYCLOPROPANECARBOXYLATE,1-AMINOCYCLOPROPANECARBOXYLATE,,Positive
,3-(2-HYDROXYPHENYL)PROPANOATE,,3-(2-HYDROXYPHENYL)PROPANOATE,,Negative
3-DEHYDROSHIKIMATE,3-DEHYDROSHIKIMATE,3-DEHYDROSHIKIMATE,3-DEHYDROSHIKIMATE,,Determine
,3-METHYL-L-HISTIDINE,,3-METHYL-L-HISTIDINE,,
,3-NITRO-L-TYROSINE,,3-NITRO-L-TYROSINE,,
,3-PHOSPHOGLYCERATE,,3-PHOSPHOGLYCERATE,,
,3-SULFINOALANINE,,3-SULFINOALANINE,,
4-GUANIDINOBUTANOATE,,,4-GUANIDINOBUTANOATE,,
,5-HYDROXYTRYPTOPHAN,,5-HYDROXYTRYPTOPHAN,,
5-METHYLCYTIDINE,,,5-METHYLCYTIDINE,,
ADENINE,ADENINE,ADENINE,ADENINE,,
ADENOSINE DIPHOSPHATE RIBOSE,ADENOSINE DIPHOSPHATE RIBOSE,ADENOSINE DIPHOSPHATE RIBOSE,ADENOSINE DIPHOSPHATE RIBOSE,,
,ALLANTOIN,,ALLANTOIN,,
,ALPHA-HYDROXYISOBUTYRATE,,ALPHA-HYDROXYISOBUTYRATE,,
ANSERINE,ANSERINE,ANSERINE,ANSERINE,,
ARGININE,,,ARGININE,,
,ASCORBATE,,ASCORBATE,,
ASPARAGINE,ASPARAGINE,ASPARAGINE,ASPARAGINE,,
ASPARTATE,ASPARTATE,ASPARTATE,ASPARTATE,,
BETA-NICOTINAMIDE ADENINE DINUCLEOTIDE, ,,BETA-NICOTINAMIDE ADENINE DINUCLEOTIDE,,
CARNOSINE,CARNOSINE,CARNOSINE,CARNOSINE,,
CDP-ETHANOLAMINE,CDP-ETHANOLAMINE,CDP-ETHANOLAMINE,CDP-ETHANOLAMINE,,
CORTISOL,,,CORTISOL,,
CREATINE,CREATINE,CREATINE,CREATINE,,
CYSTATHIONINE,CYSTATHIONINE,CYSTATHIONINE,CYSTATHIONINE,,
CYTIDINE,CYTIDINE,CYTIDINE,CYTIDINE,,
CYTIDINE MONOPHOSPHATE,CYTIDINE MONOPHOSPHATE,CYTIDINE MONOPHOSPHATE,CYTIDINE MONOPHOSPHATE,,
,D-RIBOSE 5-PHOSPHATE,,D-RIBOSE 5-PHOSPHATE,,
DEOXYADENOSINE MONOPHOSPHATE,DEOXYADENOSINE MONOPHOSPHATE,DEOXYADENOSINE MONOPHOSPHATE,DEOXYADENOSINE MONOPHOSPHATE,,
DEOXYCARNITINE,,,DEOXYCARNITINE,,
DEOXYCYTIDINE,DEOXYCYTIDINE,DEOXYCYTIDINE,DEOXYCYTIDINE,,
,DEOXYCYTIDINE MONOPHOSPHATE,,DEOXYCYTIDINE MONOPHOSPHATE,,
DEOXYGUANOSINE,DEOXYGUANOSINE,DEOXYGUANOSINE,DEOXYGUANOSINE,,
,DEOXYURIDINE-MONOPHOSPHATE,,DEOXYURIDINE-MONOPHOSPHATE,,
,FUMARATE,,FUMARATE,,
,GLUCONATE,,GLUCONATE,,
GLUTAMINE,GLUTAMINE,GLUTAMINE,GLUTAMINE,,
,GLUTARATE,,GLUTARATE,,
GLUTARYLCARNITINE,,,GLUTARYLCARNITINE,,
GLUTATHIONE REDUCED,,,GLUTATHIONE REDUCED,,
GLYCEROL 3-PHOSPHATE,,,GLYCEROL 3-PHOSPHATE,,
GLYCINE,,,GLYCINE,,
GUANINE,GUANINE,GUANINE,GUANINE,,
,GUANOSINE MONOPHOSPHATE,,GUANOSINE MONOPHOSPHATE,,
HISTIDINE,HISTIDINE,HISTIDINE,HISTIDINE,,
HYPOTAURINE,,,HYPOTAURINE,,
HYPOXANTHINE,HYPOXANTHINE,HYPOXANTHINE,HYPOXANTHINE,,
INOSINE-MONOPHOSPHATE,INOSINE-MONOPHOSPHATE,INOSINE-MONOPHOSPHATE,INOSINE-MONOPHOSPHATE,,
ISOLEUCINE,,,ISOLEUCINE,,
KYNURENINE,,,KYNURENINE,,
L-CARNITINE,,,L-CARNITINE,,
,LACTATE,,LACTATE,,
LUMICHROME,,,LUMICHROME,,
LYSINE,,,LYSINE,,
,MALATE,,MALATE,,
METHIONINE,METHIONINE,METHIONINE,METHIONINE,,
"N,N-DIMETHYLARGININE",,,"N,N-DIMETHYLARGININE",,
N-ACETYLASPARAGINE,N-ACETYLASPARAGINE,N-ACETYLASPARAGINE,N-ACETYLASPARAGINE,,
N-ACETYLNEURAMINATE,N-ACETYLNEURAMINATE,N-ACETYLNEURAMINATE,N-ACETYLNEURAMINATE,,
,N-ACETYLTRYPTOPHAN,,N-ACETYLTRYPTOPHAN,,
N-ALPHA-ACETYLLYSINE,N-ALPHA-ACETYLLYSINE,N-ALPHA-ACETYLLYSINE,N-ALPHA-ACETYLLYSINE,,
NICOTINAMIDE,,,NICOTINAMIDE,,
NICOTINAMIDE MONONUCLEOTIDE,,,NICOTINAMIDE MONONUCLEOTIDE,,
NICOTINATE,,,NICOTINATE,,
O-PHOSPHOETHANOLAMINE,O-PHOSPHOETHANOLAMINE,O-PHOSPHOETHANOLAMINE,O-PHOSPHOETHANOLAMINE,,
OPHTHALMATE,OPHTHALMATE,OPHTHALMATE,OPHTHALMATE,,
ORNITHINE,,,ORNITHINE,,
,OXOPROLINE,,OXOPROLINE,,
,PANTOTHENATE,,PANTOTHENATE,,
PHENYLALANINE,PHENYLALANINE,PHENYLALANINE,PHENYLALANINE,,
,PHOSPHOENOLPYRUVATE,,PHOSPHOENOLPYRUVATE,,
PHOSPHORYLCHOLINE,,,PHOSPHORYLCHOLINE,,
PIPECOLATE,,,PIPECOLATE,,
PROLINE,,,PROLINE,,
PTERIN,,,PTERIN,,
PYRIDOXAL,,,PYRIDOXAL,,
PYRIDOXAL-PHOSPHATE,PYRIDOXAL-PHOSPHATE,PYRIDOXAL-PHOSPHATE,PYRIDOXAL-PHOSPHATE,,
,RAFFINOSE,,RAFFINOSE,,
RIBOFLAVIN,RIBOFLAVIN,RIBOFLAVIN,RIBOFLAVIN,,
,S-ADENOSYLHOMOCYSTEINE,,S-ADENOSYLHOMOCYSTEINE,,
SERINE,SERINE,SERINE,SERINE,,
SHIKIMATE,,,SHIKIMATE,,
,STACHYOSE,,STACHYOSE,,
SUBERATE,,,SUBERATE,,
,SUCCINATE SEMIALDEHYDE,,SUCCINATE SEMIALDEHYDE,,
TAURINE,TAURINE,TAURINE,TAURINE,,
,THYMIDINE,,THYMIDINE,,
,THYMIDINE-MONOPHOSPHATE,,THYMIDINE-MONOPHOSPHATE,,
TRIGONELLINE,,,TRIGONELLINE,,
,TRIMETHYLACETIC ACID,,TRIMETHYLACETIC ACID,,
TRIMETHYLAMINE OXIDE,,,TRIMETHYLAMINE OXIDE,,
TRYPTOPHAN,,,TRYPTOPHAN,,
TYROSINE,,,TYROSINE,,
URACIL,URACIL,URACIL,URACIL,,
URATE,URATE,URATE,URATE,,
UREIDOPROPIONATE,,,UREIDOPROPIONATE,,
,URIDINE,,URIDINE,,
URIDINE MONOPHOSPHATE,URIDINE MONOPHOSPHATE,URIDINE MONOPHOSPHATE,URIDINE MONOPHOSPHATE,,
UROCANATE,,,UROCANATE,,
XANTHINE,XANTHINE,XANTHINE,XANTHINE,,
